Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
syracuse,14,19,4.95,68.7,106.3,2024,Adrian Autry,
tarleton state,12,20,-10.31,68.5,92.4,2024,Billy Gillispie,288_Billy_Gillispie
tcu,16,16,10.49,67.1,100.3,2024,Jamie Dixon,287_Jamie_Dixon
temple,17,15,-0.24,69.4,110.9,2024,Adam Fisher,
tennessee ,30,8,24.2,64.9,114,2024,Rick Barnes,292_Rick_Barnes
tennessee state,17,16,-8.01,71.6,106.6,2024,Brian Collins,290_Brian_Collins
tennessee tech,15,17,-11.09,69,103.8,2024,John Pelphrey,291_John_Pelphrey
tennessee-martin,14,19,-11.18,68,107,2024,Jeremy Shulman,
texas ,19,16,15.65,68.4,113.1,2024,Rodney Terry,295_Chris_Beard
texas a&m ,23,11,19.3,67.8,109.2,2024,Buzz Williams,293_Buzz_Williams
texas a&m-corpus christi,20,14,-0.99,68.5,110.5,2024,Jim Shaw,
texas southern,15,17,-10.27,71.6,100.7,2024,Johnny Jones,296_Johnny_Jones
texas state,16,16,-3.6,67.2,110.9,2024,Terrence Johnson,297_Terrence_Johnson
texas tech ,28,9,23.05,66.5,119.5,2024,Grant McCasland,204_Grant_McCasland
texas-rio grande valley,16,15,-6.05,71.5,107.4,2024,Kahil Fennell,
the citadel,5,25,-18.37,66.3,99.1,2024,Ed Conroy,299_Ed_Conroy
toledo,18,15,-6.03,69.6,113,2024,Tod Kowalczyk,300_Tod_Kowalczyk
towson,22,11,-1.92,64.1,108,2024,Pat Skerry,301_Pat_Skerry
troy ,23,11,3.55,67.5,108.7,2024,Scott Cross,302_Scott_Cross
tulane,19,15,1.24,68.1,109,2024,Ron Hunter,303_Ron_Hunter
tulsa,13,20,-5.93,67.6,103.8,2024,Eric Konkol,149_Eric_Konkol
uab,24,13,4.7,70.4,115.9,2024,Andy Kennedy,305_Andy_Kennedy
uc davis,15,17,-6.41,68.6,98.6,2024,Jim Les,307_Jim_Les
uc irvine,32,7,7.6,69.7,107.2,2024,Russ Turner,308_Russ_Turner
uc riverside,21,13,-1.47,68,108.3,2024,Mike Magpayo,309_Mike_Magpayo
uc san diego ,30,5,12.63,67.4,117.7,2024,Eric Olen,310_Eric_Olen
uc santa barbara,21,13,0.28,66.9,111,2024,Joe Pasternack,311_Joe_Pasternack
ucf,20,17,10.59,72.5,108.2,2024,Johnny Dawkins Jr,312_Johnny_Dawkins_Jr
ucla ,23,11,19.68,66.2,112,2024,Mick Cronin,
unc asheville,21,11,-5.36,70.8,114.8,2024,Mike Morrell,319_Mike_Morrell
unc greensboro,20,12,-0.99,65.2,111.8,2024,Mike Jones,320_Mike_Jones
unc wilmington ,27,8,2.36,67.4,116.2,2024,Takayo Siddle,321_Takayo_Siddle
ut arlington,13,18,-5.55,69.1,106.1,2024,KT Turner,
utah,16,17,11.44,69.3,108.6,2024,Craig Smith,
utah state ,26,8,13.56,67.2,118.8,2024,Jerrod Calhoun,361_Jerrod_Calhoun
utah tech,7,26,-10.29,69.3,100.5,2024,Jon Judkins,330_Jon_Judkins
utah valley,25,9,1.91,69.4,108.8,2024,Todd Phillips,
utep,18,15,-0.63,69.5,103.9,2024,Joe Golding,327_Joe_Golding
utsa,12,19,-2.55,70.4,108.1,2024,Austin Claunch,195_Austin_Claunch
valparaiso,15,19,-2.9,68.5,107.8,2024,Roger Powell Jr.,
vanderbilt ,20,13,14.66,69.8,112.6,2024,Mark Byington,129_Mark_Byington
vermont,21,12,-8.06,64.4,103.4,2024,John Becker,337_John_Becker
villanova,21,15,13.28,63.8,115.7,2024,Kyle Neptune *,91_Kyle_Neptune
virginia,15,17,5.71,61.6,105.1,2024,Ron Sanchez,48_Ron_Sanchez
virginia commonwealth ,28,7,14.45,66.6,115.1,2024,Ryan Odom,329_Ryan_Odom
vmi,15,19,-11.25,68.8,106.1,2024,Andrew Wilson,334_Andrew_Wilson
virginia tech,13,19,2.62,66.1,103.5,2024,Mike Young,340_Mike_Young
wagner,14,16,-15.75,61.8,99.9,2024,Donald Copeland,341_Donald_Copeland
wake forest,21,11,9.63,67.9,103.4,2024,Steve Forbes,342_Steve_Forbes
washington,13,18,6.26,68.6,103.4,2024,Danny Sprinkle,180_Danny_Sprinkle
washington state,19,15,4.67,71.6,109.8,2024,David Riley,80_David_Riley
weber state,12,22,-9.64,66.9,106.6,2024,Eric Duft,345_Eric_Duft
west georgia,6,25,-15.57,69.3,99.6,2024,Dave Moore,
west virginia,19,13,14.89,65.2,102.9,2024,Darian DeVries,70_Darian_DeVries
western carolina,8,22,-15.83,71.6,96.1,2024,Tim Craft,94_Tim_Craft
western illinois,12,19,-15.22,65.5,104.1,2024,Chad Boudreau,
western kentucky,17,15,-0.5,72.9,102.3,2024,Hank Plona,
western michigan,12,20,-9.55,69.4,103.8,2024,Dwayne Stephens,351_Dwayne_Stephens
wichita state,19,15,2.29,69.4,105.8,2024,Paul Mills,222_Paul_Mills
william & mary,17,15,-6.26,71.2,109.1,2024,Brian Earl,60_Brian_Earl
winthrop,23,11,-1.68,74.1,113.1,2024,Mark Prosser,354_Mark_Prosser
wisconsin ,27,10,20.73,68.7,116.3,2024,Greg Gard,355_Greg_Gard
wofford ,19,16,-0.13,65.2,114.1,2024,Dwight Perry,356_Jay_McAuley
wright state,15,18,-4.89,68.1,112.2,2024,Clint Sargent,
wyoming,12,20,-0.67,65.7,101.8,2024,Sundance Wicks,
xavier ,22,12,15.25,69.4,111.7,2024,Sean Miller *,359_Sean_Miller_*
yale ,22,8,6.66,69,117.9,2024,James Jones,360_James_Jones
youngstown state,21,13,-3.85,70.6,107.5,2024,Ethan Faulkner,
abilene christian,13,17,-2.79,70.9,104.9,2022,Brette Tanner,1_Brette_Tanner
air force,14,18,2,63.6,104,2022,Joe Scott,2_Joe_Scott
akron,22,11,4.19,67.2,110.3,2022,John Groce,3_John_Groce
alabama ,31,6,23.19,72.6,110.4,2022,Nate Oats,5_Nate_Oats
alabama a&m,15,18,-10.78,69.9,98.9,2022,Otis Hughley Jr.,4_Otis_Hughley_Jr.
alabama state,8,23,-16.33,68.6,92,2022,Tony Madlock,267_Tony_Madlock
albany  ,8,23,-14.36,67.9,98.8,2022,Dwayne Killings,306_Dwayne_Killings
alcorn state,18,14,-8.74,67.8,98.2,2022,Landon Bussie,7_Landon_Bussie
american,17,15,-8.26,62.6,102.9,2022,Mike Brennan,8_Mike_Brennan
appalachian state,16,16,-1.5,67.3,103.6,2022,Dustin Kerns,9_Dustin_Kerns
arizona ,28,7,19.08,72.7,112.6,2022,Tommy Lloyd,11_Tommy_Lloyd
arizona state ,23,13,11.29,69,101.9,2022,Bobby Hurley,10_Bobby_Hurley
arkansas ,22,14,15.99,70.2,105.1,2022,Eric Musselman,12_Eric_Musselman
arkansas state,13,20,-8.07,64.8,101,2022,Mike Balado,13_Mike_Balado
arkansas-pine bluff,10,21,-12.99,71.3,93,2022,Solomon Bozeman,14_Solomon_Bozeman
army,17,16,-7.13,68.1,106.5,2022,Jimmy Allen,15_Jimmy_Allen
auburn ,21,13,14.35,68.7,105.6,2022,Bruce Pearl,16_Bruce_Pearl
austin peay,9,22,-12.17,66.8,99.4,2022,Nate James,17_Nate_James
ball state,20,12,-1.2,68.5,111.1,2022,Michael Lewis,19_Michael_Lewis
baylor ,23,11,17.3,67.8,113.3,2022,Scott Drew,20_Scott_Drew
bellarmine,15,18,-7.42,62.8,104.7,2022,Scott Davenport,21_Scott_Davenport
belmont,21,11,1.88,69,109.9,2022,Casey Alexander,22_Casey_Alexander
bethune-cookman,12,20,-17.15,69.5,97.2,2022,Reggie Theus,23_Reggie_Theus
binghamton,13,18,-10.44,67,101,2022,Levell Sanders,24_Levell_Sanders
boise state ,24,10,12.78,66.8,106.8,2022,Leon Rice,25_Leon_Rice
boston college,16,17,1.09,66.7,99,2022,Earl Grant,26_Earl_Grant
boston university,15,17,-8.1,66.3,99.7,2022,Joe Jones,27_Joe_Jones
bowling green state,11,20,-8.46,71.2,106.7,2022,Michael Huger,28_Michael_Huger
bradley,25,10,6.51,65.9,106.8,2022,Brian Wardle,29_Brian_Wardle
byu,19,15,9.43,70.9,106.1,2022,Mark Pope,18_Mark_Pope
brown,14,13,-2.47,69.9,99.1,2022,Mike Martin,30_Mike_Martin
bryant,17,13,-3.59,73,108.3,2022,Jared Grasso,31_Jared_Grasso
bucknell,12,20,-9.93,66.4,100.9,2022,Nathan Davis,32_Nathan_Davis
buffalo,15,17,-2.97,74.2,104.1,2022,Jim Whitesell,33_Jim_Whitesell
butler,14,18,5.85,67.2,97,2022,Thad Matta,34_Thad_Matta
cal poly,8,25,-7.51,65.1,92.7,2022,John Smith,35_John_Smith
cal state bakersfield,11,22,-8.34,63.4,93.9,2022,Rod Barnes,36_Rod_Barnes
cal state fullerton,20,13,1.73,65.5,102.5,2022,Dedrique Taylor,37_Dedrique_Taylor
cal state northridge,7,25,-10.4,65.7,96.1,2022,Trent Johnson,38_Trent_Johnson
california,3,29,-3.36,64.3,90,2022,Mark Fox,
california baptist,17,16,0.21,65.9,104.5,2022,Rick Croy,39_Rick_Croy
campbell,16,18,-5.23,64.6,106.1,2022,Kevin McGeehan,41_Kevin_McGeehan
canisius,10,20,-7.05,67.5,102.1,2022,Reggie Witherspoon,42_Reggie_Witherspoon
central arkansas,9,22,-13.72,72.7,99.1,2022,Anthony Boone,43_Anthony_Boone
central connecticut state,10,22,-13.68,65.7,99.3,2022,Patrick Sellers,44_Patrick_Sellers
central michigan,10,21,-11.97,69,94.9,2022,Tony Barbee,45_Tony_Barbee
charleston southern,10,21,-9.44,67.1,107.7,2022,Barclay Radebaugh *,47_Barclay_Radebaugh_*
charlotte,22,14,3.9,61.5,107,2022,Ron Sanchez,48_Ron_Sanchez
chattanooga,18,17,-2.34,68.9,111.7,2022,Dan Earl,334_Dan_Earl
chicago state,11,20,-11.29,66.8,104.8,2022,Gerald Gillion,50_Gerald_Gillion
cincinnati,23,13,11.77,69.9,109.6,2022,Wes Miller,51_Wes_Miller
clemson,23,11,10.53,68.1,109,2022,Brad Brownell,52_Brad_Brownell
cleveland state,21,14,-2.6,66.5,106.1,2022,Daniyal Robinson,53_Daniyal_Robinson
coastal carolina,11,20,-8.93,69.1,105.3,2022,Cliff Ellis,54_Cliff_Ellis
colgate ,26,9,2.2,68.2,114.5,2022,Matt Langel,55_Matt_Langel
college of charleston ,31,4,8.4,70.7,112.5,2022,Pat Kelsey,46_Pat_Kelsey
colorado,18,17,11.17,69.6,100.4,2022,Tad Boyle,56_Tad_Boyle
colorado state,15,18,5.64,66.4,107.9,2022,Niko Medved,57_Niko_Medved
columbia,7,22,-14.37,70.6,95.2,2022,Jim Engles,58_Jim_Engles
uconn,31,8,22.95,68.4,114.9,2022,Dan Hurley,314_Dan_Hurley
coppin state,9,23,-14.76,73.1,97,2022,Juan Dixon,59_Juan_Dixon
cornell,17,11,0.63,72.5,112.1,2022,Brian Earl,60_Brian_Earl
creighton ,24,13,17.83,69.3,109.6,2022,Greg McDermott,61_Greg_McDermott
dartmouth,10,18,-7.98,70.8,99.4,2022,David McLaughlin,62_David_McLaughlin
davidson,16,16,1.99,66.1,104.4,2022,Matt McKillop,63_Matt_McKillop
dayton,22,12,8.71,63.6,107.2,2022,Anthony Grant,64_Anthony_Grant
delaware,17,16,-5.57,67.4,102.6,2022,Martin Ingelsby,66_Martin_Ingelsby
delaware state,6,24,-17.7,69.6,92.1,2022,Stan Waterman,67_Stan_Waterman
denver,15,17,-9.56,69.1,103.6,2022,Jeff Wulbrun,68_Jeff_Wulbrun
depaul,10,23,2.9,69.8,100.4,2022,Tony Stubblefield,65_Tony_Stubblefield
detroit mercy,14,19,-3.21,67.8,112.1,2022,Mike Davis,69_Mike_Davis
drake ,27,8,7.84,67,109.2,2022,Darian DeVries,70_Darian_DeVries
drexel,17,15,-2.27,64,102.2,2022,Zach Spiker,71_Zach_Spiker
duke ,27,9,15.83,65.5,109.5,2022,Jon Scheyer,72_Jon_Scheyer
duquesne,20,13,3.48,69.4,108,2022,Keith Dambrot,73_Keith_Dambrot
east carolina,16,17,-0.29,68.6,100.4,2022,Michael Schwartz,74_Michael_Schwartz
east tennessee state,12,20,-6,66.7,103.2,2022,Desmond Oliver,75_Desmond_Oliver
east texas a&m,13,20,-11.09,67,104.8,2022,Jaret von Rosenberg,76_Jaret_von_Rosenberg
eastern illinois,9,22,-14.09,70.7,96.9,2022,Marty Simmons,77_Marty_Simmons
eastern kentucky,23,14,-1.47,72,107.3,2022,A.W. Hamilton,78_A.W._Hamilton
eastern michigan,8,23,-11.05,70.3,101.9,2022,Stan Heath,79_Stan_Heath
eastern washington,23,11,1.47,68.9,111.2,2022,David Riley,80_David_Riley
elon,8,24,-12.85,67,97.7,2022,Billy Taylor,81_Billy_Taylor
evansville,5,27,-15.14,69.8,89.4,2022,David Ragland,82_David_Ragland
fairfield,13,18,-6.98,64.9,98.7,2022,Jay Young,83_Jay_Young
fdu ,21,16,-8.98,69.8,109.7,2022,Tobin Anderson,84_Tobin_Anderson
florida,16,17,10.9,69.7,101.8,2022,Todd Golden,259_Todd_Golden
florida a&m,7,22,-17.81,66.5,87.8,2022,Robert McCullum,85_Robert_McCullum
florida atlantic ,35,4,13.92,68.5,112.8,2022,Dusty May,86_Dusty_May
florida gulf coast,17,15,-2.63,66.7,106.1,2022,Patrick Chambers,88_Patrick_Chambers
florida international,14,18,-2.71,71,101.4,2022,Jeremy Ballard,89_Jeremy_Ballard
florida state,9,23,-0.38,69,100.5,2022,Leonard Hamilton *,90_Leonard_Hamilton_*
fordham,25,8,2.26,70,102.1,2022,Keith Urgo *,91_Keith_Urgo
fresno state,11,20,2.6,64,99.5,2022,Justin Hutson,92_Justin_Hutson
furman ,28,8,4.89,69.4,115.4,2022,Bob Richey,93_Bob_Richey
gardner-webb,15,16,-3.84,67.5,103.1,2022,Tim Craft,94_Tim_Craft
george mason,20,13,1.73,67.6,100.9,2022,Kim English,95_Kim_English
george washington,16,16,-1.93,69.7,107.4,2022,Chris Caputo,96_Chris_Caputo
georgetown,7,25,-1.07,69.6,99.1,2022,Patrick Ewing,97_Patrick_Ewing
georgia,16,16,1.8,68.2,100.1,2022,Michael White,87_Michael_White
georgia southern,17,16,-3.25,67.6,100.8,2022,Brian Burg,99_Brian_Burg
georgia state,10,21,-6.79,67.8,98,2022,Jonas Hayes,100_Jonas_Hayes
georgia tech,15,18,2.08,67.6,102.8,2022,Josh Pastner *,101_Josh_Pastner_*
gonzaga ,31,6,18.99,71.9,119.5,2022,Mark Few,102_Mark_Few
grambling,24,9,-4.03,67.8,101.3,2022,Donte Jackson,103_Donte_Jackson
grand canyon ,24,12,4.43,66.9,111.5,2022,Bryce Drew,104_Bryce_Drew
green bay,3,29,-20.3,66.2,89.2,2022,Will Ryan,105_Will_Ryan
hampton,8,24,-15.25,69.9,97.2,2022,Edward Joyner Jr,106_Edward_Joyner_Jr
hartford,5,23,-23.12,66.3,94.7,2022,Tom Devitt,
harvard,14,14,-0.71,67.8,99.9,2022,Tommy Amaker,107_Tommy_Amaker
hawaii,22,11,2.36,64.9,101.9,2022,Eran Ganot,108_Eran_Ganot
high point,14,17,-9.88,72.7,102.7,2022,G.G. Smith,109_G.G._Smith
hofstra,25,10,4.96,67.6,109.5,2022,Speedy Claxton,110_Speedy_Claxton
holy cross,10,22,-14.27,69.1,96.2,2022,Brett Nelson,111_Brett_Nelson
houston ,33,4,22.2,64.8,115.5,2022,Kelvin Sampson,113_Kelvin_Sampson
houston christian,10,22,-17.18,73.4,105.2,2022,Ron Cottrell,112_Ron_Cottrell
howard ,22,13,-5.04,71.8,104.4,2022,Kenneth Blakeney,114_Kenneth_Blakeney
idaho,10,22,-8.7,67.1,107.5,2022,Tim Marrion,117_Zac_Claus
idaho state,11,21,-6.56,65.7,102.8,2022,Ryan Looney,116_Ryan_Looney
illinois ,20,13,14.81,69.5,105.7,2022,Brad Underwood *,118_Brad_Underwood_*
illinois state,11,21,-7.38,65.7,99.6,2022,Ryan Pedon,119_Ryan_Pedon
illinois-chicago,12,20,-8.83,69.2,96.2,2022,Luke Yaklich,
incarnate word,12,19,-15.06,69.3,100.9,2022,Carson Cunningham,120_Carson_Cunningham
indiana ,23,12,14.94,68.4,109,2022,Mike Woodson,121_Mike_Woodson
indiana state,23,13,4.86,71.2,110.7,2022,Josh Schertz,122_Josh_Schertz
iona ,27,8,7.61,68.8,110.1,2022,Rick Pitino *,123_Rick_Pitino_*
iowa ,19,14,14.08,69.6,113.7,2022,Fran McCaffery,124_Fran_McCaffery
iowa state ,19,14,15.36,65.7,102.2,2022,T.J. Otzelberger,125_T.J._Otzelberger
iu indy,5,27,-19,67.7,96,2022,Matt Crenshaw,115_Matt_Crenshaw
jackson state,14,19,-11.36,69.8,95.8,2022,Mo Williams,6_Mo_Williams
jacksonville,13,16,-6.19,62,102.2,2022,Jordan Mincy,127_Jordan_Mincy
jacksonville state,13,18,-6.67,66.5,104.7,2022,Ray Harper,128_Ray_Harper
james madison,22,11,4.96,72.2,109.8,2022,Mark Byington,129_Mark_Byington
kansas ,28,8,19.2,70.2,106.8,2022,Bill Self,131_Bill_Self
kansas city,11,21,-9.78,65.4,97.2,2022,Marvin Menzies,130_Marvin_Menzies
kansas state ,26,10,15.79,70.5,106.2,2022,Jerome Tang,132_Jerome_Tang
kennesaw state ,26,9,0.6,69.8,106.4,2022,Amir Abdur-Rahim,133_Amir_Abdur-Rahim
kent state ,28,7,7.53,69.7,108.9,2022,Rob Senderoff,134_Rob_Senderoff
kentucky ,22,12,14.76,66.8,110.7,2022,John Calipari *,135_John_Calipari_*
la salle,15,19,-2.79,68.5,100.9,2022,Fran Dunphy,137_Fran_Dunphy
lafayette,11,23,-7.83,63.5,96.1,2022,Mike McGarvey,138_Mike_Jordan
lamar,9,22,-17.4,67.9,99.2,2022,Alvin Brooks,139_Alvin_Brooks
lehigh,16,14,-9.08,69.7,100.1,2022,Brett Reed,141_Brett_Reed
liberty,27,9,8.36,65.7,113.8,2022,Ritchie McKay,142_Ritchie_McKay
lindenwood,11,21,-14.8,69.2,98.6,2022,Kyle Gerdeman,366_Kyle_Gerdeman
lipscomb,20,13,-1.95,69.7,108,2022,Lennie Acuff,143_Lennie_Acuff
little rock,10,21,-12.62,72.9,102.6,2022,Darrell Walker,144_Darrell_Walker
long beach state,17,16,-0.58,72.6,102.7,2022,Dan Monson,145_Dan_Monson
long island university,3,26,-24.46,73.6,90.7,2022,Rod Strickland,146_Rod_Strickland
longwood,20,12,-1.75,67.1,109.1,2022,Griff Aldrich,147_Griff_Aldrich
louisiana ,26,8,4.27,69.2,111.4,2022,Bob Marlin,148_Bob_Marlin
louisiana state,14,19,3.32,66.7,101.4,2022,Matt McMahon,184_Matt_McMahon
louisiana tech,15,18,0.1,67.7,104.3,2022,Talvin Hester,149_Talvin_Hester
louisiana-monroe,11,21,-8.64,67.2,99.1,2022,Keith Richard,316_Keith_Richard
louisville,4,28,-5.39,67,95.4,2022,Kenny Payne,150_Kenny_Payne
loyola (il),10,21,-4.65,67,99.3,2022,Drew Valentine,151_Drew_Valentine
loyola (md),13,20,-12.05,66.8,100.4,2022,Tavaras Hardy,152_Tavaras_Hardy
loyola marymount,19,12,4.98,69.1,107.6,2022,Stan Johnson,153_Stan_Johnson
maine,13,17,-8.88,67,100.9,2022,Chris Markwood,154_Chris_Markwood
manhattan,12,18,-9.87,67.2,98,2022,RaShawn Stores,155_RaShawn_Stores
marist,13,20,-8.44,65.5,97.2,2022,John Dunne,156_John_Dunne
marquette ,29,7,17.07,69.3,112.9,2022,Shaka Smart,157_Shaka_Smart
marshall,24,8,7.13,72.7,111.1,2022,Dan D'Antoni II,158_Dan_D'Antoni_II
maryland ,22,13,14.58,64.5,107.7,2022,Kevin Willard,263_Kevin_Willard
maryland-baltimore county,18,14,-6.22,68.4,108.2,2022,Jim Ferry,317_Jim_Ferry
maryland-eastern shore,18,13,-7.63,71.4,97.2,2022,Jason Crafton,
massachusetts,15,16,-1.34,70.7,98.7,2022,Frank Martin,266_Frank_Martin
massachusetts-lowell,26,8,0.63,69.7,111.6,2022,Pat Duquette,318_Pat_Duquette
mcneese,11,23,-13.63,67.9,100.8,2022,John Aiken,162_John_Aiken
memphis ,26,9,14.5,72.2,108.7,2022,Anfernee Hardaway,163_Anfernee_Hardaway
mercer,14,19,-5.11,65.5,103.7,2022,Greg Gary,164_Greg_Gary
merrimack,18,16,-11.18,67.1,93.2,2022,Joe Gallo,166_Joe_Gallo
miami (fl) ,29,8,13.98,68.9,114.3,2022,Jim Larranaga,168_Jim_Larranaga
miami (oh),12,20,-7.46,69.4,105.7,2022,Travis Steele,359_Travis_Steele
michigan,18,16,12.43,67.4,106.4,2022,Juwan Howard,170_Juwan_Howard
michigan state ,21,13,14.25,65.4,106.8,2022,Tom Izzo,169_Tom_Izzo
middle tennessee,19,14,2.95,67,103.9,2022,Nick McDevitt,171_Nick_McDevitt
milwaukee,22,12,-4.69,72.3,106.2,2022,Bart Lundy,172_Bart_Lundy
minnesota,9,22,-0.3,65.4,95.4,2022,Ben Johnson,173_Ben_Johnson
mississippi,12,21,5.73,66.6,100.9,2022,Kermit Davis Jr,220_Kermit_Davis_Jr
mississippi state ,21,13,11.43,64.9,99.8,2022,Chris Jans,192_Chris_Jans
mississippi valley state,5,27,-18.28,68.2,88.7,2022,George Ivory,175_George_Ivory
missouri ,25,10,11.41,70,112,2022,Dennis Gates,53_Dennis_Gates
missouri state,17,15,0.35,63,102.9,2022,Dana Ford,176_Dana_Ford
monmouth,7,26,-15.64,68.4,90.2,2022,King Rice,178_King_Rice
montana,17,14,-1.15,64.1,107.6,2022,Travis DeCuire,179_Travis_DeCuire
montana state ,25,10,2.18,67.9,108.1,2022,Danny Sprinkle,180_Danny_Sprinkle
morehead state,22,12,-7.1,66.9,104,2022,Preston Spradlin,181_Preston_Spradlin
morgan state,15,16,-11.58,73.8,100.3,2022,Kevin Broadus,182_Kevin_Broadus
mount st. mary's,13,20,-8.18,65.8,96,2022,Dan Engelstad,183_Dan_Engelstad
murray state,17,15,-4.45,66.9,104,2022,Steve Prohm,184_Steve_Prohm
navy,18,13,-2.79,64.9,106.1,2022,Ed DeChellis,187_Ed_DeChellis
nc state ,23,11,12.5,69.8,110.9,2022,Kevin Keatts,185_Kevin_Keatts
nebraska,16,16,7.12,67.2,99.5,2022,Fred Hoiberg,188_Fred_Hoiberg
nevada ,22,11,10.01,66.4,107.3,2022,Steve Alford,189_Steve_Alford
nevada-las vegas,19,13,7.2,69.6,104.6,2022,Kevin Kruger,322_Kevin_Kruger
new hampshire,15,15,-9.05,65.7,100.2,2022,Bill Herrion,190_Bill_Herrion
new mexico,22,12,10.82,72,111.1,2022,Richard Pitino,191_Richard_Pitino
new mexico state,9,15,-1.56,71.6,102.9,2022,Greg Heiar,192_Greg_Heiar
new orleans,12,20,-14.23,72.5,100.1,2022,Mark Slessinger,193_Mark_Slessinger
niagara,16,15,-6.78,63.7,101.4,2022,Greg Paulus,194_Greg_Paulus
nicholls state,16,15,-8.54,72.7,104,2022,Austin Claunch,195_Austin_Claunch
njit,7,23,-12.57,66.6,98.9,2022,Brian Kennedy,186_Brian_Kennedy
norfolk state,22,11,-3.72,68.1,110.4,2022,Robert Jones,196_Robert_Jones
north alabama,18,15,-8.65,69.5,105.5,2022,Tony Pujol,197_Tony_Pujol
north carolina,20,13,12.94,69.3,107.8,2022,Hubert Davis,200_Hubert_Davis
north carolina a&t,13,19,-11.4,70.7,99.3,2022,Phillip Shumpert,198_Phillip_Shumpert
north carolina central,18,12,-2.91,70.2,106,2022,LeVelle Moton,199_LeVelle_Moton
north dakota,13,20,-7.6,68.2,105,2022,Paul Sather,201_Paul_Sather
north dakota state,16,17,-4.56,69.3,105.2,2022,David Richman,202_David_Richman
north florida,14,17,-6.75,69.1,108.5,2022,Matthew Driscoll,203_Matthew_Driscoll
north texas,31,7,10.71,59.5,107.1,2022,Grant McCasland,204_Grant_McCasland
northeastern,10,20,-10.33,67.1,96.5,2022,Bill Coen,205_Bill_Coen
northern arizona,12,23,-3.87,68,106.9,2022,Shane Burcar,206_Shane_Burcar
northern colorado,12,20,-4.65,69.3,105.3,2022,Steve Smiley,207_Steve_Smiley
northern illinois,13,19,-6.55,70.9,101.2,2022,Rashon Burno,208_Rashon_Burno
northern iowa,14,18,-2.68,67.8,102.6,2022,Ben Jacobson,209_Ben_Jacobson
northern kentucky ,22,13,-0.83,63.5,104.8,2022,Darrin Horn,210_Darrin_Horn
northwestern ,22,12,13.68,65,103.5,2022,Chris Collins,212_Chris_Collins
