Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
Drake ,28,7,11.08,68.4,113.9,2023,Darian DeVries,70_Darian_DeVries
Drexel,20,12,1.14,65.7,110.4,2023,Zach Spiker,71_Zach_Spiker
Duke ,27,9,20.67,67.1,117.1,2023,Jon Scheyer,72_Jon_Scheyer
Duquesne ,25,12,7.35,66.9,105.5,2023,Keith Dambrot,73_Keith_Dambrot
East Carolina,15,18,-0.62,65.8,104.5,2023,Michael Schwartz,74_Michael_Schwartz
East Tennessee State,19,16,-3.11,68.8,103.5,2023,Brooks Savage,
East Texas A&M,13,20,-14.52,68.7,100.8,2023,Jaret von Rosenberg,76_Jaret_von_Rosenberg
Eastern Illinois,14,18,-11.6,68.2,101,2023,Marty Simmons,77_Marty_Simmons
Eastern Kentucky,17,14,-5.42,71.8,112,2023,A.W. Hamilton,78_A.W._Hamilton
Eastern Michigan,13,18,-12.76,66.4,98.3,2023,Stan Heath,79_Stan_Heath
Eastern Washington,21,11,-1.03,70.9,113.6,2023,David Riley,80_David_Riley
Elon,13,19,-11.43,68,107.5,2023,Billy Taylor,81_Billy_Taylor
Evansville,17,18,-3.69,69.6,101.1,2023,David Ragland,82_David_Ragland
Fairfield,24,13,-3.17,68.9,109.6,2023,Chris Casey,
FDU,15,17,-14.41,73.6,102.4,2023,Jack Castleberry,
Florida ,24,12,15.17,73.1,115.1,2023,Todd Golden,259_Todd_Golden
Florida A&M,6,23,-15.82,69.9,94.5,2023,Robert McCullum,85_Robert_McCullum
Florida Atlantic ,25,9,13.26,69.1,116.2,2023,Dusty May,86_Dusty_May
Florida Gulf Coast,14,18,-6.28,65.6,106.9,2023,Patrick Chambers,88_Patrick_Chambers
Florida International,11,22,-8.01,72.1,101.8,2023,Jeremy Ballard,89_Jeremy_Ballard
Florida State,17,16,9.52,72.2,105.7,2023,Leonard Hamilton *,90_Leonard_Hamilton_*
Fordham,13,20,-0.46,69.3,99.8,2023,Keith Urgo *,91_Keith_Urgo
Fresno State,12,21,-3.29,66,101,2023,Justin Hutson,92_Justin_Hutson
Furman,17,16,0.21,71.2,109.9,2023,Bob Richey,93_Bob_Richey
Gardner-Webb,17,16,-4.66,70.2,103.5,2023,Tim Craft,94_Tim_Craft
George Mason,20,12,6.36,65,109.2,2023,Tony Skinn,
George Washington,15,17,-1.03,70.4,106.2,2023,Chris Caputo,96_Chris_Caputo
Georgetown,9,23,0.68,67.4,104.3,2023,Ed Cooley,235_Ed_Cooley
Georgia,20,17,8.63,70.6,105.4,2023,Michael White,87_Michael_White
Georgia Southern,9,24,-8.44,70.1,103.5,2023,Charlie Henry,
Georgia State,14,17,-4.59,70.6,107.4,2023,Jonas Hayes,100_Jonas_Hayes
Georgia Tech,14,18,4.6,68.2,102.5,2023,Damon Stoudamire,
Gonzaga ,27,8,17.93,69.8,121.1,2023,Mark Few,102_Mark_Few
Grambling ,21,15,-9.63,66.9,100.1,2023,Donte Jackson,103_Donte_Jackson
Grand Canyon ,30,5,10.45,69.8,112.9,2023,Bryce Drew,104_Bryce_Drew
Green Bay,18,14,-5.64,64.6,106,2023,Sundance Wicks,
Hampton,9,24,-15.82,70.8,101.4,2023,Edward Joyner Jr,106_Edward_Joyner_Jr
Harvard,14,13,-4.58,67.8,102.9,2023,Tommy Amaker,107_Tommy_Amaker
Hawaii,20,14,-0.07,67.4,106.1,2023,Eran Ganot,108_Eran_Ganot
High Point,27,9,2.15,69.3,119.4,2023,Alan Huss,
Hofstra,20,13,2.31,66.6,111,2023,Speedy Claxton,110_Speedy_Claxton
Holy Cross,10,23,-17.12,65.4,101.2,2023,Dave Paulsen,
Houston ,32,5,25.69,64.1,113.6,2023,Kelvin Sampson,113_Kelvin_Sampson
Houston Christian,6,23,-19.37,73.4,97,2023,Ron Cottrell,112_Ron_Cottrell
Howard ,18,17,-8.69,69.4,106.5,2023,Kenneth Blakeney,114_Kenneth_Blakeney
Idaho,11,21,-11.29,65.9,102.6,2023,Alex Pribble,
Idaho State,14,20,-7.49,64.9,106.7,2023,Ryan Looney,116_Ryan_Looney
Illinois ,29,9,19.56,70.1,118.2,2023,Brad Underwood *,118_Brad_Underwood_*
Illinois State,15,17,-1.38,65.3,101.9,2023,Ryan Pedon,119_Ryan_Pedon
Illinois-Chicago,12,21,-1.61,68.7,100.4,2023,Luke Yaklich,
Incarnate Word,8,23,-16.4,71.9,99.6,2023,Shane Heirman,
Indiana,19,14,7.74,69.4,104.2,2023,Mike Woodson,121_Mike_Woodson
Indiana State,32,7,13.44,71.4,118.4,2023,Josh Schertz,122_Josh_Schertz
Iona,16,17,-5.19,68,104.9,2023,Tobin Anderson,84_Tobin_Anderson
Iowa,19,15,13,72.6,114,2023,Fran McCaffery,124_Fran_McCaffery
Iowa State ,29,8,22.3,67.9,110.9,2023,T.J. Otzelberger,125_T.J._Otzelberger
IU Indy,6,26,-21.31,68.8,95.3,2023,Matt Crenshaw,115_Matt_Crenshaw
Jackson State,15,17,-11.5,70,101.4,2023,Mo Williams,6_Mo_Williams
Jacksonville,16,17,-9.84,68.6,104.4,2023,Jordan Mincy,127_Jordan_Mincy
Jacksonville State,14,18,-3.55,67.1,104,2023,Ray Harper,128_Ray_Harper
James Madison ,32,4,8.19,71.6,115,2023,Mark Byington,129_Mark_Byington
Kansas ,23,11,16.35,69.9,107.7,2023,Bill Self,131_Bill_Self
Kansas City,16,16,-5.32,67.3,105.2,2023,Marvin Menzies,130_Marvin_Menzies
Kansas State,19,15,11.06,68.4,102.8,2023,Jerome Tang,132_Jerome_Tang
Kennesaw State,15,16,-8.02,75.4,109,2023,Antoine Pettway,
Kent State,17,17,-0.76,67.7,108.5,2023,Rob Senderoff,134_Rob_Senderoff
Kentucky ,23,10,16.79,73.9,119.2,2023,John Calipari *,135_John_Calipari_*
La Salle,16,17,-1.62,67.3,106.4,2023,Fran Dunphy,137_Fran_Dunphy
Lafayette,11,21,-11.17,65.3,94.7,2023,Mike McGarvey,138_Mike_Jordan
Lamar,19,14,-5.47,70.5,108.7,2023,Alvin Brooks,139_Alvin_Brooks
Le Moyne,15,17,-11.07,69.2,104.3,2023,Nate Champion,
Lehigh,14,18,-7.47,69.9,101.6,2023,Brett Reed,141_Brett_Reed
Liberty,18,14,1.58,66,111,2023,Ritchie McKay,142_Ritchie_McKay
Lindenwood,9,22,-18.73,68.1,95.3,2023,Kyle Gerdeman,366_Kyle_Gerdeman
Lipscomb,20,12,-1.94,71.2,115.3,2023,Lennie Acuff,143_Lennie_Acuff
Little Rock,21,13,-3.42,69.9,109.8,2023,Darrell Walker,144_Darrell_Walker
Long Beach State ,21,15,-1.19,72.9,105.4,2023,Dan Monson,145_Dan_Monson
Long Island University,7,22,-17.86,71.3,92.5,2023,Rod Strickland,146_Rod_Strickland
Longwood ,21,14,-2.04,67.9,108.5,2023,Griff Aldrich,147_Griff_Aldrich
Louisiana,19,14,-0.6,70.4,107.8,2023,Bob Marlin,148_Bob_Marlin
Louisiana State,17,16,8.14,70.7,107.5,2023,Matt McMahon,184_Matt_McMahon
Louisiana Tech,22,10,4.83,67.5,109.9,2023,Talvin Hester,149_Talvin_Hester
Louisiana-Monroe,11,19,-10.05,69.1,100.7,2023,Keith Richard,316_Keith_Richard
Louisville,8,24,0.45,70.4,101.8,2023,Kenny Payne,150_Kenny_Payne
Loyola (IL),23,10,6.57,69.3,104.7,2023,Drew Valentine,151_Drew_Valentine
Loyola (MD),7,25,-16.17,65.7,96.4,2023,Tavaras Hardy,152_Tavaras_Hardy
Loyola Marymount,12,19,-0.06,66.4,109,2023,Stan Johnson,153_Stan_Johnson
Maine,15,17,-6.39,68.1,98.6,2023,Chris Markwood,154_Chris_Markwood
Manhattan,7,23,-15.28,69.2,94.4,2023,John Gallagher,
Marist,18,13,-5.64,65.5,98.6,2023,John Dunne,156_John_Dunne
Marquette ,27,10,19.27,69.4,112,2023,Shaka Smart,157_Shaka_Smart
Marshall,13,20,-5.42,72.5,101.7,2023,Dan D'Antoni II,158_Dan_D'Antoni_II
Maryland,16,17,10.6,66.3,103,2023,Kevin Willard,263_Kevin_Willard
Maryland-Baltimore County,11,21,-8.67,74.7,104.8,2023,Jim Ferry,317_Jim_Ferry
Maryland-Eastern Shore,9,20,-17.33,68.3,94.2,2023,Jason Crafton,
Massachusetts,20,11,7.59,69.2,111.5,2023,Frank Martin,266_Frank_Martin
Massachusetts-Lowell,22,10,-1.28,72.6,109.4,2023,Pat Duquette,318_Pat_Duquette
McNeese State ,30,4,6.42,67.6,118.3,2023,Will Wade,162_Will_Wade
Memphis,22,10,9,72,110.9,2023,Anfernee Hardaway,163_Anfernee_Hardaway
Mercer,16,17,-4.65,67.5,105.4,2023,Greg Gary,164_Greg_Gary
Merrimack,21,12,-5.24,68.6,100,2023,Joe Gallo,166_Joe_Gallo
Miami (FL),15,17,9.59,69.9,107.9,2023,Jim Larranaga,168_Jim_Larranaga
Miami (OH),15,17,-6.45,68.5,102.6,2023,Travis Steele,359_Travis_Steele
Michigan,8,24,5.28,68.9,104.6,2023,Juwan Howard,170_Juwan_Howard
Michigan State ,20,15,17.72,66.4,109.4,2023,Tom Izzo,169_Tom_Izzo
Middle Tennessee,14,19,-7.45,66.8,96.5,2023,Nick McDevitt,171_Nick_McDevitt
Milwaukee,20,15,-5.01,70.9,110.2,2023,Bart Lundy,172_Bart_Lundy
Minnesota,19,15,9.51,67.7,110.3,2023,Ben Johnson,173_Ben_Johnson
Mississippi,20,12,8.3,68.6,109.3,2023,Chris Beard,295_Chris_Beard
Mississippi State ,21,14,14.19,68.7,107.5,2023,Chris Jans,192_Chris_Jans
Mississippi Valley State,1,30,-26.17,66.2,83.4,2023,George Ivory,175_George_Ivory
Missouri,8,24,3.27,68.4,105,2023,Dennis Gates,53_Dennis_Gates
Missouri State,17,16,0.98,68.4,102.6,2023,Dana Ford,176_Dana_Ford
Monmouth,18,15,-3.17,68.1,106.4,2023,King Rice,178_King_Rice
Montana,24,12,-1.41,67.2,113.6,2023,Travis DeCuire,179_Travis_DeCuire
Montana State ,17,18,-5.34,69.7,106.4,2023,Matt Logie,
Morehead State ,26,9,0.51,66.2,113.7,2023,Preston Spradlin,181_Preston_Spradlin
Morgan State,11,20,-16.07,71.7,100.6,2023,Kevin Broadus,182_Kevin_Broadus
Mount St. Mary's,13,19,-6.54,69.3,103.7,2023,Dan Engelstad,183_Dan_Engelstad
Murray State,12,20,0.36,65.5,106.1,2023,Steve Prohm,184_Steve_Prohm
Navy,13,18,-11.7,65.4,100.8,2023,Ed DeChellis,187_Ed_DeChellis
NC State ,26,15,12.81,68.5,109.1,2023,Kevin Keatts,185_Kevin_Keatts
Nebraska ,23,11,14.36,69.4,110.8,2023,Fred Hoiberg,188_Fred_Hoiberg
Nevada ,26,8,12.85,66.9,113,2023,Steve Alford,189_Steve_Alford
Nevada-Las Vegas,21,13,8.38,66.2,109.5,2023,Kevin Kruger,322_Kevin_Kruger
New Hampshire,16,15,-6.15,73.3,100.7,2023,Nathan Davis,32_Nathan_Davis
New Mexico ,26,10,15.04,72.5,111.7,2023,Richard Pitino,191_Richard_Pitino
New Mexico State,13,19,-8.62,68.6,97.5,2023,Jason Hooten,255_Jason_Hooten
New Orleans,10,23,-16.8,73.2,100.1,2023,Mark Slessinger,193_Mark_Slessinger
Niagara,16,16,-8.4,67.9,105.5,2023,Greg Paulus,194_Greg_Paulus
Nicholls State,20,14,-7.14,67.8,105.5,2023,Tevon Saddler,
NJIT,7,21,-14.65,68.6,99,2023,Grant Billmeier,
Norfolk State,24,11,-5.76,68.3,108.7,2023,Robert Jones,196_Robert_Jones
North Alabama,15,17,-7.17,68.9,109.2,2023,Tony Pujol,197_Tony_Pujol
North Carolina ,29,8,21.36,71.3,114.6,2023,Hubert Davis,200_Hubert_Davis
North Carolina A&T,7,25,-16.31,68,96.4,2023,Monte Ross,
North Carolina Central,18,13,-7.88,69.2,109.9,2023,LeVelle Moton,199_LeVelle_Moton
North Dakota,18,14,-6.24,67.9,110.4,2023,Paul Sather,201_Paul_Sather
North Dakota State,15,17,-7.57,66.6,109.1,2023,David Richman,202_David_Richman
North Florida,16,16,-6.95,69.4,111.1,2023,Matthew Driscoll,203_Matthew_Driscoll
North Texas,19,15,8.41,63.2,108.7,2023,Ross Hodge,
Northeastern,12,20,-6.09,65.8,105.5,2023,Bill Coen,205_Bill_Coen
Northern Arizona,14,19,-12.17,69,98.7,2023,Shane Burcar,206_Shane_Burcar
Northern Colorado,19,14,-4.44,69.9,110.1,2023,Steve Smiley,207_Steve_Smiley
Northern Illinois,11,20,-9.16,69.7,103.7,2023,Rashon Burno,208_Rashon_Burno
Northern Iowa,19,14,3.83,67.7,107.3,2023,Ben Jacobson,209_Ben_Jacobson
Northern Kentucky,18,15,-3.66,69.7,105.8,2023,Darrin Horn,210_Darrin_Horn
Northwestern ,22,12,12.77,64.8,111.2,2023,Chris Collins,212_Chris_Collins
Northwestern State,9,23,-14.42,69.3,100.2,2023,Rick Cabrera,
Notre Dame,13,20,4.94,64.8,97.6,2023,Micah Shrewsberry,226_Micah_Shrewsberry
Oakland ,24,12,2.02,68,110.5,2023,Greg Kampe,214_Greg_Kampe
Ohio,20,13,0.48,68.3,111.9,2023,Jeff Boals,215_Jeff_Boals
Ohio State,22,14,13.64,67.4,110.9,2023,Chris Holtmann,216_Chris_Holtmann
Oklahoma,20,12,14.66,68.4,109.4,2023,Porter Moser,217_Porter_Moser
Oklahoma State,12,20,6.25,68,103.2,2023,Michael Boynton,218_Michael_Boynton
Old Dominion,7,25,-8.35,71.2,98.8,2023,Jeff Jones,219_Jeff_Jones
Omaha,15,18,-7.38,68,108,2023,Chris Crutchfield,221_Chris_Crutchfield
Oral Roberts,12,19,-7.43,68.6,106.2,2023,Russell Springmann,
Oregon ,24,12,12.22,68.3,109.6,2023,Dana Altman,
Oregon State,13,19,3.28,66.2,101.7,2023,Wayne Tinkle,
Pacific,6,26,-17.42,69.3,92.7,2023,Leonard Perry,225_Leonard_Perry
Penn State,16,17,9.22,70.2,106.1,2023,Mike Rhoades,333_Mike_Rhoades
Pennsylvania,11,18,-3.33,66.5,110.1,2023,Steve Donahue,227_Steve_Donahue
Pepperdine,13,20,-2.14,68.4,106.4,2023,Lorenzo Romar,228_Lorenzo_Romar
Pittsburgh,22,11,14.89,67,112.9,2023,Jeff Capel III *,229_Jeff_Capel_III_*
Portland,12,21,-8.2,69,103.3,2023,Shantay Legans,230_Shantay_Legans
Portland State,17,15,-7.15,69.4,102.8,2023,Jase Coburn,231_Jase_Coburn
Prairie View,10,21,-15.41,72.8,96.4,2023,Byron Smith,232_Byron_Smith
Presbyterian,14,19,-8.13,68.9,107.7,2023,Quinton Ferrell,233_Quinton_Ferrell
Princeton,24,5,6.55,65.8,117.1,2023,Mitch Henderson,234_Mitch_Henderson
Providence,21,14,12.56,68.4,104.7,2023,Kim English,95_Kim_English
Purdue ,34,5,24.93,68.3,119.5,2023,Matt Painter,236_Matt_Painter
Purdue Fort Wayne,23,13,-0.74,72.3,110.1,2023,Jon Coffman,237_Jon_Coffman
Queens (NC),14,19,-8.75,73.6,108.7,2023,Grant Leonard,
Quinnipiac,24,10,-3.08,71.9,107.2,2023,Tom Pecora,
Radford,16,17,-5.66,65.3,109.1,2023,Darris Nichols,239_Darris_Nichols
Rhode Island,12,20,-2.26,69,105.2,2023,Archie Miller,240_Archie_Miller
Rice,11,21,-3.22,67.5,105.4,2023,Scott Pera,241_Scott_Pera
Richmond,23,10,7.67,67.4,106.2,2023,Chris Mooney,242_Chris_Mooney
Rider,15,17,-5.73,69.1,103.2,2023,Kevin Baggett,243_Kevin_Baggett
Robert Morris,10,22,-9.57,68.7,104.1,2023,Andrew Toole,244_Andrew_Toole
Rutgers,15,17,7.41,68.6,95,2023,Steve Pikiell,245_Steve_Pikiell
Sacramento State,10,24,-10.87,65.5,102.4,2023,David Patrick,249_David_Patrick
Sacred Heart,16,16,-9.91,70.3,105.4,2023,Anthony Latina,250_Anthony_Latina
Saint Francis (PA),8,22,-18.6,66.7,97.3,2023,Rob Krimmel,
Saint Joseph's,21,14,6.59,68.6,109.2,2023,Billy Lange,251_Billy_Lange
Saint Louis,13,20,-1.57,69.8,107.4,2023,Travis Ford,252_Travis_Ford
Saint Mary's (CA) ,26,8,16.31,63.8,115.2,2023,Randy Bennett,253_Randy_Bennett
Saint Peter's ,19,14,-4.58,65.4,98.8,2023,Bashir Mason,341_Bashir_Mason
Sam Houston,21,12,-0.37,69.4,103.2,2023,Chris Mudge,
Samford ,29,6,6.32,74.4,115.7,2023,Bucky McMillan,256_Bucky_McMillan
San Diego,18,15,-5.31,72,100.7,2023,Steve Lavin,258_Steve_Lavin
San Diego State ,26,11,14.68,67,108.7,2023,Brian Dutcher,257_Brian_Dutcher
San Francisco,23,11,9.68,68.5,112.7,2023,Chris Gerlufsen,259_Chris_Gerlufsen
San Jose State,9,23,-3.82,66.4,104,2023,Tim Miles,260_Tim_Miles
Santa Clara,20,13,5.39,69.8,109.8,2023,Herb Sendek,261_Herb_Sendek
Seattle,23,14,4.03,68.6,105.5,2023,Chris Victor,262_Chris_Victor
Seton Hall,25,12,12.67,67.4,108.1,2023,Shaheen Holloway,254_Shaheen_Holloway
Siena,4,28,-19.2,67.1,90,2023,Carmen Maciariello,264_Carmen_Maciariello
South Alabama,16,16,-5.92,70.2,103.8,2023,Richie Riley,265_Richie_Riley
South Carolina ,26,8,10.98,64.8,110.4,2023,Lamont Paris,49_Lamont_Paris
South Carolina State,14,18,-11.85,70.3,99,2023,Erik Martin,267_Erik_Martin
South Carolina Upstate,10,20,-9.36,68.4,102.4,2023,Dave Dickerson,268_Dave_Dickerson
South Dakota,12,20,-12.55,69.8,107.3,2023,Eric Peterson,269_Eric_Peterson
South Dakota State ,22,13,0.52,68.6,110.7,2023,Eric Henderson,270_Eric_Henderson
South Florida,25,8,7.37,69,109.8,2023,Amir Abdur-Rahim,133_Amir_Abdur-Rahim
Southeast Missouri State,9,22,-18.25,70.4,94.8,2023,Brad Korn,272_Brad_Korn
Southeastern Louisiana,15,17,-11.31,66.9,102.3,2023,David Kiefer,246_David_Kiefer
Southern,18,14,-8.74,70.7,99.8,2023,Kevin Johnson,
Southern California,15,18,9.36,69.7,104.8,2023,Andy Enfield,
Southern Illinois,19,13,4.1,65.4,109.3,2023,Bryan Mullins,273_Bryan_Mullins
SIU Edwardsville,17,16,-9.08,67.7,105.6,2023,Brian Barone,247_Brian_Barone
Southern Indiana,8,24,-13.63,69.7,98.1,2023,Stan Gouard,365_Stan_Gouard
Southern Methodist,20,13,10.22,68.6,111.5,2023,Rob Lanier,100_Rob_Lanier
Southern Mississippi,16,16,-5.93,69.5,100.6,2023,Jay Ladner,275_Jay_Ladner
Southern Utah,10,21,-5.72,71.4,104.6,2023,Rob Jeter,349_Rob_Jeter
St. Bonaventure,20,13,6.77,66,110,2023,Mark Schmidt,277_Mark_Schmidt
St. John's (NY),20,13,16.49,69.6,113.3,2023,Rick Pitino *,123_Rick_Pitino_*
St. Thomas,20,13,-0.92,63.9,113.4,2023,John Tauer,280_John_Tauer
Stanford,14,18,7.35,70.9,106.1,2023,Jerod Haase,
Stephen F. Austin,18,15,-0.95,71.5,102.4,2023,Kyle Keller *,282_Kyle_Keller_*
Stetson ,22,13,-5.09,67.5,113.4,2023,Donnie Jones *,283_Donnie_Jones_*
Stonehill,4,27,-20.1,69.2,91.4,2023,Chris Kraus,284_Chris_Kraus
Stony Brook,20,15,-2.59,67.5,106.6,2023,Geno Ford,285_Geno_Ford
Syracuse,20,12,8.53,72.1,105.9,2023,Adrian Autry,
Tarleton State,25,10,1.4,68.4,108,2023,Billy Gillispie,288_Billy_Gillispie
TCU ,21,13,14.62,70.6,110.3,2023,Jamie Dixon,287_Jamie_Dixon
Temple,16,20,-1.26,68,102.1,2023,Adam Fisher,
Tennessee ,27,9,21.81,70.3,112.1,2023,Rick Barnes,292_Rick_Barnes
Tennessee State,18,15,-9.64,69.8,103.8,2023,Brian Collins,290_Brian_Collins
Tennessee Tech,10,21,-15.04,67.6,98.9,2023,John Pelphrey,291_John_Pelphrey
Tennessee-Martin,21,11,-5.57,74.5,108.6,2023,Ryan Ridder,325_Ryan_Ridder
Texas ,21,13,15.91,68.2,110.1,2023,Rodney Terry,295_Chris_Beard
Texas A&M ,21,15,13.35,67.8,111.4,2023,Buzz Williams,293_Buzz_Williams
Texas A&M-Corpus Christi,21,12,-4.45,71.2,105.2,2023,Jim Shaw,
Texas Southern,16,17,-9.09,69.5,100.5,2023,Johnny Jones,296_Johnny_Jones
Texas State,17,18,-3.71,68.4,101.4,2023,Terrence Johnson,297_Terrence_Johnson
Texas Tech ,23,11,14.96,67.2,111.7,2023,Grant McCasland,204_Grant_McCasland
Texas-Rio Grande Valley,6,25,-13.39,73.5,95,2023,Matt Figger,326_Matt_Figger
The Citadel,11,21,-6.53,67,105,2023,Ed Conroy,299_Ed_Conroy
Toledo,20,12,1.78,70.2,113,2023,Tod Kowalczyk,300_Tod_Kowalczyk
Towson,20,14,0.19,63.2,105.6,2023,Pat Skerry,301_Pat_Skerry
Troy,20,12,1.24,71.2,110,2023,Scott Cross,302_Scott_Cross
Tulane,14,17,3.65,73.4,109.8,2023,Ron Hunter,303_Ron_Hunter
Tulsa,16,15,-1.2,71.4,103.8,2023,Eric Konkol,149_Eric_Konkol
UAB ,23,12,5.14,68.7,111.2,2023,Andy Kennedy,305_Andy_Kennedy
UC Davis,20,13,-1.33,68.1,103.8,2023,Jim Les,307_Jim_Les
UC Irvine,24,10,6.89,69.7,110.5,2023,Russ Turner,308_Russ_Turner
UC Riverside,16,18,-4.26,67.7,104,2023,Mike Magpayo,309_Mike_Magpayo
UC San Diego,21,12,2.04,66.9,113.3,2023,Eric Olen,310_Eric_Olen
UC Santa Barbara,16,15,-3.19,69,108.4,2023,Joe Pasternack,311_Joe_Pasternack
UCF,17,16,11.92,69.3,103,2023,Johnny Dawkins Jr,312_Johnny_Dawkins_Jr
UCLA,16,17,7.5,64.8,101.9,2023,Mick Cronin,
UNC Asheville,22,12,-1.92,70.3,111,2023,Mike Morrell,319_Mike_Morrell
UNC Greensboro,21,11,-0.27,66.9,112.2,2023,Mike Jones,320_Mike_Jones
UNC Wilmington,21,10,1.21,66.6,117.3,2023,Takayo Siddle,321_Takayo_Siddle
UT Arlington,20,14,2.38,71.9,106.5,2023,KT Turner,
Utah,22,15,15,70.9,110,2023,Craig Smith,
Utah State ,28,7,11.56,69.3,113.4,2023,Danny Sprinkle,180_Danny_Sprinkle
Utah Tech,11,20,-8.08,71.9,97.7,2023,Jon Judkins,330_Jon_Judkins
Utah Valley,16,16,-1.33,69.2,98.6,2023,Todd Phillips,
UTEP,18,16,-1.49,71.4,101,2023,Joe Golding,327_Joe_Golding
UTSA,11,21,-5.26,71.3,107.2,2023,Steve Henson,328_Steve_Henson
Valparaiso,7,25,-8.25,69.3,97.6,2023,Roger Powell Jr.,
Vanderbilt,9,23,0.19,67.8,99.7,2023,Jerry Stackhouse,336_Jerry_Stackhouse
Vermont ,28,7,2.78,65.4,109.1,2023,John Becker,337_John_Becker
Villanova,18,16,14.44,64.3,106.9,2023,Kyle Neptune *,91_Kyle_Neptune
Virginia ,23,11,10.45,61.2,101.7,2023,Tony Bennett,339_Tony_Bennett
Virginia Commonwealth,24,14,8.7,66.2,106.5,2023,Ryan Odom,329_Ryan_Odom
VMI,4,28,-20.65,74.6,92,2023,Andrew Wilson,334_Andrew_Wilson
Virginia Tech,19,15,11.91,68.1,110,2023,Mike Young,340_Mike_Young
Wagner ,17,16,-10.64,63,100,2023,Donald Copeland,341_Donald_Copeland
Wake Forest,21,14,14.94,68.8,112.6,2023,Steve Forbes,342_Steve_Forbes
Washington,17,15,11.85,72,109.8,2023,Mike Hopkins,
Washington State ,25,10,14.02,66.4,109.9,2023,Kyle Smith,
Weber State,20,12,-0.49,66.8,112,2023,Eric Duft,345_Eric_Duft
West Virginia,9,23,3.73,68.7,100.8,2023,Josh Eilert,
Western Carolina,22,10,1.96,68.6,110.7,2023,Justin Gray,348_Justin_Gray
Western Illinois,21,12,-8.75,66.9,102.1,2023,Chad Boudreau,
Western Kentucky ,22,12,1.19,76,105.6,2023,Steve Lutz,294_Steve_Lutz
Western Michigan,12,20,-9.3,68.6,102.7,2023,Dwayne Stephens,351_Dwayne_Stephens
Wichita State,15,19,2.02,69.5,104,2023,Paul Mills,222_Paul_Mills
William & Mary,10,23,-11.33,66.7,104.4,2023,Dane Fischer,353_Dane_Fischer
Winthrop,17,15,-1.97,68.3,110.7,2023,Mark Prosser,354_Mark_Prosser
Wisconsin ,22,14,16.01,66,112,2023,Greg Gard,355_Greg_Gard
Wofford,17,15,-3.87,67.5,108.7,2023,Dwight Perry,356_Jay_McAuley
Wright State,18,14,-0.22,72.6,117.7,2023,Scott Nagy,357_Scott_Nagy
Wyoming,15,17,0.54,67.9,106.4,2023,Jeff Linder,358_Jeff_Linder
Xavier,16,18,12.23,71.5,106.1,2023,Sean Miller *,359_Sean_Miller_*
Yale ,23,10,4.63,66.1,111.2,2023,James Jones,360_James_Jones
Youngstown State,22,10,0.97,70.8,113.8,2023,Jerrod Calhoun,361_Jerrod_Calhoun